,open_4,high_4,low_4,close_4,over_ema_4,trend_4,volume_diff_4,open_3,high_3,low_3,close_3,over_ema_3,trend_3,volume_diff_3,open_2,high_2,low_2,close_2,over_ema_2,trend_2,volume_diff_2,open_1,high_1,low_1,close_1,over_ema_1,trend_1,volume_diff_1,trend
81,-0.64,0.09,-3.35,-1.32,0.0,-1.0,-0.1098,-1.12,0.4,-4.87,-4.87,0.0,1.0,-0.3776,-4.43,-1.6,-6.83,-1.68,0.0,-1.0,0.8868,-2.15,-0.94,-4.09,-2.58,0.0,-1.0,-0.2896,-1.0
82,-0.93,0.59,-4.68,-4.68,0.0,1.0,-0.3776,-4.24,-1.41,-6.64,-1.49,0.0,-1.0,0.8868,-1.96,-0.75,-3.9,-2.39,0.0,-1.0,-0.2896,-1.93,-1.85,-6.98,-2.92,0.0,-1.0,0.3836,-1.0
83,-3.82,-0.99,-6.22,-1.07,0.0,-1.0,0.8868,-1.54,-0.33,-3.48,-1.97,0.0,-1.0,-0.2896,-1.51,-1.43,-6.56,-2.5,0.0,-1.0,0.3836,-2.12,-0.06,-3.01,-1.37,0.0,-1.0,0.0092,-1.0
84,-0.91,0.3,-2.85,-1.34,0.0,-1.0,-0.2896,-0.88,-0.8,-5.93,-1.87,0.0,-1.0,0.3836,-1.49,0.57,-2.38,-0.74,0.0,-1.0,0.0092,-1.33,-1.17,-5.34,-3.39,0.0,-1.0,0.0663,-1.0
85,-0.53,-0.45,-5.58,-1.52,0.0,-1.0,0.3836,-1.14,0.92,-2.03,-0.39,0.0,-1.0,0.0092,-0.98,-0.82,-4.99,-3.04,0.0,-1.0,0.0663,-2.73,-1.98,-6.32,-5.58,0.0,-1.0,-0.1109,-1.0
86,-0.37,1.69,-1.26,0.38,0.0,-1.0,0.0092,-0.21,-0.05,-4.22,-2.27,0.0,-1.0,0.0663,-1.96,-1.21,-5.55,-4.81,0.0,-1.0,-0.1109,-4.76,-2.43,-5.78,-2.54,0.0,-1.0,0.109,-1.0
87,1.02,1.18,-2.99,-1.04,0.0,-1.0,0.0663,-0.73,0.02,-4.32,-3.58,0.0,-1.0,-0.1109,-3.53,-1.2,-4.55,-1.31,0.0,-1.0,0.109,-1.36,-1.13,-8.29,-6.18,0.0,-1.0,0.2146,-1.0
88,0.25,1.0,-3.34,-2.6,0.0,-1.0,-0.1109,-2.55,-0.22,-3.57,-0.33,0.0,-1.0,0.109,-0.38,-0.15,-7.31,-5.2,0.0,-1.0,0.2146,-5.5,-3.18,-10.72,-10.63,0.0,-1.0,0.453,-1.0
89,-0.45,1.88,-1.47,1.77,0.0,-1.0,0.109,1.72,1.95,-5.21,-3.1,0.0,-1.0,0.2146,-3.4,-1.08,-8.62,-8.53,0.0,-1.0,0.453,-9.55,-6.9,-9.55,-7.2,0.0,-1.0,-0.7676,1.0
90,2.94,3.17,-3.99,-1.88,0.0,-1.0,0.2146,-2.18,0.14,-7.4,-7.31,0.0,-1.0,0.453,-8.33,-5.68,-8.33,-5.98,0.0,-1.0,-0.7676,-15.03,-9.63,-22.23,-18.75,0.0,1.0,6.8254,1.0
