var_name,split_list,sub_total_sample_num,positive_sample_num,negative_sample_num,sub_total_num_percentage,positive_rate_in_sub_total,woe_list,iv_list,iv
Age,"(41.0,42.0]",62,52,10,0.019595448798988623,0.8387096774193549,-1.3729351036678694,0.06973438537087384,1.603014894167539
Age,"(42.0,43.0]",76,66,10,0.02402022756005057,0.868421052631579,-1.134524488147578,0.05236037247419436,1.603014894167539
Age,"(43.0,44.0]",69,65,4,0.021807838179519597,0.9420289855072463,-0.2335162048317284,0.0013233248370186177,1.603014894167539
Age,"(44.0,45.0]",88,84,4,0.02781289506953224,0.9545454545454546,0.02291297613107507,1.4451120053374273e-05,1.603014894167539
Age,"(45.0,46.0]",79,73,6,0.024968394437420986,0.9240506329113924,-0.5229009771256925,0.008691007589586254,1.603014894167539
Age,"(46.0,47.0]",92,90,2,0.029077117572692796,0.9782608695652174,0.7850279497504471,0.012736975333388887,1.603014894167539
Age,"(47.0,48.0]",104,102,2,0.03286978508217446,0.9807692307692307,0.9101909619856356,0.018387977863727326,1.603014894167539
Age,"(48.0,49.0]",97,93,4,0.03065739570164349,0.9587628865979382,0.12469555523377442,0.0004506237610803822,1.603014894167539
Age,"(49.0,50.0]",90,84,6,0.028445006321112517,0.9333333333333333,-0.3825437988173635,0.004963408730268546,1.603014894167539
Age,"(50.0,51.0]",97,89,8,0.03065739570164349,0.9175257731958762,-0.612402200655022,0.015262846778169841,1.603014894167539
Age,"(51.0,52.0]",76,68,8,0.02402022756005057,0.8947368421052632,-0.8815305182187756,0.028106251709411327,1.603014894167539
Age,"(52.0,53.0]",72,72,0,0.022756005056890013,1.0,10.465422227499838,0.2497480834898816,1.603014894167539
Age,"(53.0,54.0]",101,93,8,0.03192161820480405,0.9207920792079208,-0.5684391255605414,0.01341351072047536,1.603014894167539
Age,"(54.0,55.0]",89,85,4,0.028128950695322376,0.9550561797752809,0.03474741977249207,3.343226418408938e-05,1.603014894167539
Age,"(55.0,56.0]",97,91,6,0.03065739570164349,0.9381443298969072,-0.30250118271881393,0.003223017202261642,1.603014894167539
Age,"(56.0,+INF)",218,192,26,0.06890012642225031,0.8807339449541285,-1.0221901436872773,0.11574465332336473,1.603014894167539
Gender,['M'],1459,1251,208,0.4611251580278129,0.8574366004112406,-1.2274256224477988,1.2278138800499498,1.2319949591026775
Gender,['F'],1705,1619,86,0.5388748419721872,0.9495601173020528,-0.08637009597969832,0.0041810790527277136,1.2319949591026775
Marital Status,"['Marital Status_Divorced', 'Marital Status_Single']",862,768,94,0.2724399494310999,0.8909512761020881,-0.9210916351235532,0.35452717740549605,0.7990683647290218
Marital Status,['Marital Status_Married'],2227,2033,194,0.7038558786346397,0.9128872923215088,-0.6721764640907005,0.4341455663350629,0.7990683647290218
Marital Status,"['Marital Status_Seperated', 'Marital Status_Widowed']",75,69,6,0.02370417193426043,0.92,-0.5792538342645877,0.010395620988462851,0.7990683647290218
Number of family members ,[1],801,711,90,0.2531605562579014,0.8876404494382022,-0.9547238633708768,0.3595308458393571,1.070327885719756
Number of family members ,[2],638,578,60,0.20164348925410872,0.9059561128526645,-0.7563578395849602,0.16381415290269816,1.070327885719756
Number of family members ,[3],826,752,74,0.2610619469026549,0.910411622276029,-0.7029156400063785,0.17864445057253261,1.070327885719756
Number of family members ,[4],618,566,52,0.19532237673830594,0.9158576051779935,-0.6342370391552137,0.10537123092738586,1.070327885719756
Number of family members ,[5],215,197,18,0.0679519595448799,0.9162790697674419,-0.6287587294645399,0.035935431578184046,1.070327885719756
Number of family members ,"[6, 7, 8]",66,66,0,0.020859671302149177,1.0,10.378410976772651,0.22703177389959828,1.070327885719756
Education Type,['Education_College/High school'],1044,898,146,0.3299620733249052,0.8601532567049809,-1.2050227793591655,0.8381551090918707,1.0031150904348993
Education Type,['Education_Secondary/Less than high school'],167,151,16,0.052781289506953225,0.9041916167664671,-0.7769001255342142,0.04567742823239886,1.0031150904348993
Education Type,['Education_University'],1952,1820,132,0.6169405815423514,0.9323770491803278,-0.39779649752627183,0.11723523070011121,1.0031150904348993
Education Type,['Education_Elementary'],1,1,0,0.0003160556257901391,1.0,6.188854714596191,0.0020473224105185157,1.0031150904348993
Number of years at the current address,"(-INF,3.16]",206,170,36,0.06510745891276865,0.8252427184466019,-1.4693083433249718,0.27703991210130197,1.2712794277469355
Number of years at the current address,"(3.16,5.66]",231,217,14,0.07300884955752213,0.9393939393939394,-0.2807523104573698,0.006545175330117652,1.2712794277469355
Number of years at the current address,"(5.66,8.25]",271,229,42,0.08565107458912768,0.8450184501845018,-1.3255352113778727,0.2781128196061955,1.2712794277469355
Number of years at the current address,"(8.25,10.66]",164,152,12,0.051833122629582805,0.926829268292683,-0.4826194567261395,0.015082884475519389,1.2712794277469355
Number of years at the current address,"(10.66,14.41]",294,248,46,0.09292035398230089,0.8435374149659864,-1.3368000733893932,0.30843313732672256,1.2712794277469355
Number of years at the current address,"(14.41,15.91]",168,152,16,0.05309734513274336,0.9047619047619048,-0.7702994458597779,0.0450340251233786,1.2712794277469355
Number of years at the current address,"(15.91,16.83]",198,188,10,0.06257901390644753,0.9494949494949495,-0.08773825057966946,0.0005013628167071376,1.2712794277469355
Number of years at the current address,"(16.83,20.58]",473,429,44,0.14949431099873578,0.9069767441860465,-0.7443204069950532,0.11695219421330623,1.2712794277469355
Number of years at the current address,"(20.58,24.159999999999997]",293,267,26,0.09260429835651074,0.9112627986348123,-0.6924370036162419,0.061192657057065315,1.2712794277469355
Number of years at the current address,"(24.159999999999997,27.5]",312,298,14,0.0986093552465234,0.9551282051282052,0.03644369724860158,0.00012882387095505685,1.2712794277469355
Number of years at the current address,"(27.5,30.58]",193,191,2,0.060998735777496836,0.9896373056994818,1.5374911199163905,0.0764161260710071,1.2712794277469355
Number of years at the current address,"(30.58,35.5]",161,143,18,0.05088495575221239,0.8881987577639752,-0.9491176362562509,0.07123274893415975,1.2712794277469355
Number of years at the current address,"(35.5,+INF)",200,186,14,0.0632111251580278,0.93,-0.43490291347975085,0.014607560820499117,1.2712794277469355
Employment Type ,"['Employment_Privated sector', 'Employment_Self_emplyed', 'Employment_Unemplyed']",1125,961,164,0.3555625790139064,0.8542222222222222,-1.253478176931875,0.9991707271839848,1.0834051020404232
Employment Type ,['Employment_Public sector'],2039,1909,130,0.6444374209860936,0.9362432564982834,-0.33478599595718755,0.0842343748564383,1.0834051020404232
Current years at job,"(-INF,1.08]",262,226,36,0.08280657395701643,0.8625954198473282,-1.1845719268602906,0.20136509335565653,1.2602402404573778
Current years at job,"(1.08,2.66]",578,512,66,0.18268015170670038,0.8858131487889274,-0.972917089205129,0.2717116477420997,1.2602402404573778
Current years at job,"(2.66,3.91]",346,296,50,0.10935524652338811,0.8554913294797688,-1.2432508656446297,0.30089902847483696,1.2602402404573778
Current years at job,"(3.91,4.75]",159,149,10,0.05025284450063211,0.9371069182389937,-0.3202337682381972,0.005969493660902641,1.2602402404573778
Current years at job,"(4.75,6.41]",279,253,26,0.0881795195954488,0.9068100358422939,-0.7462961525638974,0.06941543673471443,1.2602402404573778
Current years at job,"(6.41,8.16]",281,239,42,0.08881163084702907,0.8505338078291815,-1.2827936812717746,0.26489326083336584,1.2602402404573778
Current years at job,"(8.16,10.33]",256,236,20,0.08091024020227561,0.921875,-0.5534906971674821,0.03200929033161669,1.2602402404573778
Current years at job,"(10.33,12.41]",171,163,8,0.05404551201011378,0.9532163742690059,-0.007288879678529642,2.880831416103345e-06,1.2602402404573778
Current years at job,"(12.41,16.66]",253,233,20,0.07996207332490518,0.9209486166007905,-0.5662840431716579,0.033312244054272445,1.2602402404573778
Current years at job,"(16.66,20.5]",189,181,8,0.059734513274336286,0.9576719576719577,0.09745788976982465,0.0005429335245555747,1.2602402404573778
Current years at job,"(20.5,25.16]",180,178,2,0.056890012642225034,0.9888888888888889,1.4670012803993682,0.06659146637902814,1.2602402404573778
Current years at job,"(25.16,+INF)",210,204,6,0.06637168141592921,0.9714285714285714,0.5047586959040157,0.013527464534913061,1.2602402404573778
Residential Status,"['Residential Status_Owner', 'Residential Status_Rent']",1811,1631,180,0.5723767383059418,0.9006073992269464,-0.8175943948928458,0.559142337195295,0.8134069084396253
Residential Status,['Residential Status_Co-owner'],1157,1053,104,0.3656763590391909,0.9101123595505618,-0.7065789059589641,0.2532812870396196,0.8134069084396253
Residential Status,"['Residential Status_Live with parents', 'Residential Status_Others']",195,187,8,0.06163084702907712,0.958974358974359,0.13006945763176567,0.0009832842047106537,0.8134069084396253
Credit Registry Information,"['Credit Registry Information_been categorized', 'Credit Registry Information_currently categorized']",517,417,100,0.1634007585335019,0.8065764023210832,-1.59367037676099,0.8638585647929689,1.1159043112699703
Credit Registry Information,['Credit Registry Information_Not and has not been categorized'],2107,1947,160,0.665929203539823,0.92406264831514,-0.52271503588069,0.23161135523454532,1.1159043112699703
